2026-01-01 08:00:01 | 192.168.1.50 | LOGIN | FAILED
2026-01-01 08:01:30 | 192.168.1.50 | LOGIN | FAILED
2026-01-01 08:02:15 | 192.168.1.50 | LOGIN | FAILED

2026-01-02 10:15:00 | 10.0.0.15 | GET /admin | SUCCESS
2026-01-02 10:16:00 | 10.0.0.15 | GET /config.php | SUCCESS

2026-01-03 09:00:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-03 09:01:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-03 09:02:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-03 09:05:00 | 172.16.0.5 | LOGIN | SUCCESS

2026-01-04 22:00:00 | 185.12.33.4 | LOGIN | FAILED
2026-01-04 22:01:00 | 185.12.33.4 | LOGIN | FAILED
2026-01-04 22:02:00 | 185.12.33.4 | LOGIN | FAILED
2026-01-04 22:05:00 | 185.12.33.4 | LOGIN | FAILED

2026-01-05 11:10:00 | 10.0.0.15 | GET /backup.sql | SUCCESS
2026-01-05 14:20:00 | 192.168.1.88 | LOGIN | SUCCESS

2026-01-06 18:30:00 | 192.168.1.50 | LOGIN | FAILED
2026-01-06 18:31:00 | 192.168.1.50 | LOGIN | FAILED
2026-01-06 18:32:00 | 192.168.1.50 | LOGIN | FAILED
2026-01-06 18:33:00 | 192.168.1.50 | LOGIN | FAILED
2026-01-06 18:34:00 | 192.168.1.50 | LOGIN | FAILED

2026-01-07 07:45:00 | 1.1.1.1 | GET /wp-login | SUCCESS
2026-01-07 08:00:00 | 8.8.8.8 | GET /index.html | SUCCESS
2026-01-07 12:00:00 | 192.168.1.100 | LOGIN | SUCCESS
2026-01-07 13:00:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-07 13:01:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-07 13:02:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-07 13:03:00 | 172.16.0.5 | LOGIN | FAILED
2026-01-07 15:00:00 | 45.33.22.11 | GET /contact | SUCCESS
2026-01-07 16:30:00 | 192.168.1.20 | LOGIN | SUCCESS
